source_folder,repo_path,category,animations
Aztec_eagle_warrior_feathered_eagle,entities/aztec_eagle_warrior.png,enemy,idle:8f;walk:6f;attack:9f;death:7f
bali_bhuta_small_squat_fanged_demon,entities/bali_bhuta.png,enemy,idle:9f;walk:9f;attack:9f;death:9f
bali_bhuta_lord_large_muscular_horned_demon+bali_bhuta_lord_large_muscular_horned_demon_brute,entities/bali_bhuta_lord.png,miniboss,idle:9f;walk:9f;attack:9f;death:9f;spirit_wail:9f;grave_reach:9f
bali_celuluk_bald_long-fanged_witch_hag,entities/bali_celuluk.png,enemy,idle:9f;walk:9f;attack:9f;death:9f
bali_leyak_floating_disembodied_demon_head,entities/bali_leyak.png,enemy,idle:9f;walk:9f;attack:9f;death:9f
Balinese_naga_serpent_demon_green,entities/bali_naga.png,enemy,idle:8f;walk:6f;attack:9f;death:7f
bali_rangda_Rangda_the_demon_queen,entities/bali_rangda.png,boss,idle:9f;walk:9f;attack:9f;death:9f;curse_of_leyak:9f;cackling_hex:9f;barongs_bane:9f
Egyptian_Anubis_guard_warrior_jackal-headed,entities/egypt_anubis_guard.png,enemy,idle:8f;walk:6f;attack:9f;death:7f
egypt_Apophis_the_chaos,entities/egypt_apophis.png,boss,idle:9f;attack:9f;devouring_coil:9f;chaos_scarabs:FALLBACK;solar_eclipse:9f
egypt_mummy_bandaged_undead_mummy_shambling,entities/egypt_mummy.png,enemy,idle:9f;walk:9f;attack:9f;death:9f
egypt_scarab_giant_iridescent_scarab_beetle,entities/egypt_scarab.png,enemy,idle:9f;walk:9f;attack:9f;death:9f
egypt_shabti_animated_mummiform_funerary_statue,entities/egypt_shabti.png,enemy,idle:9f;walk:9f;attack:9f;death:9f
egypt_sphinx_regal_sphinx_winged_lion,entities/egypt_sphinx.png,miniboss,idle:9f;walk:9f;attack:9f;death:9f;riddle_beams:9f;sand_veil_dash:9f
greece_cyclops_a_towering_one-eyed+towering_one-eyed_cyclops_giant_muscular,entities/greece_cyclops.png,miniboss,idle:9f;walk:9f;attack:9f;death:9f;boulder_hurl:9f;ground_stomp:9f
greece_harpy_winged_bird-woman_harpy_fierce,entities/greece_harpy.png,enemy,idle:9f;walk:9f;attack:9f;death:9f
greece_hydra_a_fearsome_Lernaean+greece_hydra_fearsome_Lernaean_hydra_boss,entities/greece_hydra.png,boss,idle:9f;walk:9f;attack:9f;death:9f;venom_spray:FALLBACK;regen_heads:9f;coiling_lunge:9f
greece_hydra_head_a_single_sinuous,entities/greece_hydra_head.png,enemy,idle:9f;attack:9f;death:9f
Greek_minotaur_monster_muscular_bull-headed,entities/greece_minotaur.png,enemy,idle:8f;walk:6f;attack:9f;death:7f
greece_shade_ghostly_wraith_tattered_cloak,entities/greece_shade.png,enemy,idle:9f;walk:9f;attack:9f;death:9f
undead_skeleton_warrior_standing_guard,entities/greece_skeleton.png,enemy,idle:4f;walk:6f;attack:9f;death:9f
